---,Holding,Windup,Release,Recovery,Combo,Riposte,Feint,Thwack,HitSuccess,Blocked,WorldHit,Damage,StaminaCost,PlayRate,DrawStrength,WorldHitStartPercentage,WorldHitStopPercentage,TurnLimitStrength,VerticalTurnLimitStrength,ReverseTurnLimitStrength,ThwackOnHit,HitSuccessOnHit,Direction,AltDirection,Cooldown,WeaponTipCheckReverse,WeaponTipCheckReverseAlt,WeaponTipCheckDisable,ComboFromBlocked
Default.Slash,"-1.000000","-1.000000","-1.000000","-1.000000","0.150000","0.150000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","30.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","40.000000","50.000000","50.000000","-1","-1","Left","Right","0.000000","-1","-1","-1","-1.000000"
Default.SlashHeavy,"-1.000000","-1.000000","-1.000000","-1.000000","0.150000","-1.000000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","45.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","45.000000","50.000000","50.000000","-1","-1","Left","Right","0.000000","-1","-1","-1","-1.000000"
Default.Overhead,"-1.000000","-1.000000","-1.000000","-1.000000","0.150000","0.000000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","40.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","40.000000","50.000000","50.000000","-1","-1","Down","Down","0.000000","-1","-1","-1","-1.000000"
Default.OverheadHeavy,"-1.000000","-1.000000","-1.000000","-1.000000","0.150000","-1.000000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","55.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","42.500000","50.000000","50.000000","-1","-1","Down","Down","0.000000","-1","-1","-1","-1.000000"
Default.Stab,"-1.000000","-1.000000","-1.000000","-1.000000","0.200000","0.000000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","35.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","40.000000","50.000000","-1.000000","0","-1","None","None","0.000000","-1","-1","-1","-1.000000"
Default.StabHeavy,"-1.000000","-1.000000","-1.000000","-1.000000","0.200000","-1.000000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","45.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","42.500000","50.000000","-1.000000","0","-1","None","None","0.000000","-1","-1","-1","-1.000000"
Default.Jab,"-1.000000","0.300000","0.250000","0.700000","0.150000","-1.000000","0.250000","0.600000","-1.000000","0.750000","-1.000000","10.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","37.500000","50.000000","-1.000000","1","-1","None","-1","1.200000","-1","-1","-1","-1.000000"
Default.Shove,"-1.000000","0.450000","-1.000000","0.900000","0.100000","0.450000","0.175000","0.900000","-1.000000","0.750000","-1.000000","5.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","50.000000","-1.000000","1","-1","None","-1","1.500000","-1","-1","-1","-1.000000"
Default.KickLow,"-1.000000","0.450000","-1.000000","0.900000","0.100000","0.450000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","5.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","50.000000","-1.000000","1","-1","None","-1","1.500000","-1","-1","-1","-1.000000"
Default.Special,"-1.000000","-1.000000","-1.000000","-1.000000","0.250000","-1.000000","0.175000","-1.000000","1.000000","0.750000","0.700000","60.000000","22.500000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","50.000000","-1.000000","-1","-1","None","-1","2.750000","-1","-1","-1","-1.000000"
Default.Throw,"0.000000","0.400000","0.300000","0.650000","0.150000","0.000000","0.175000","-1.000000","-1.000000","0.750000","-1.000000","30.000000","17.500000","1.000000","-1.000000","-1.000000","-1.000000","0.000000","-1.000000","-1.000000","0","-1","None","-1","0.000000","-1","-1","-1","-1.000000"
Default.Dash,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","0.000000","-1.000000","-1.000000","0","-1","None","-1","1.000000","-1","-1","-1","-1.000000"
Default.SprintAttack,"-1.000000","0.600000","0.400000","1.000000","0.150000","-1.000000","-1.000000","-1.000000","1.000000","0.750000","-1.000000","30.000000","15.000000","1.000000","-1.000000","-1.000000","-1.000000","57.500000","-1.000000","-1.000000","0","-1","None","-1","2.250000","-1","-1","-1","-1.000000"
Default.SprintShove,"-1.000000","-1.000000","-1.000000","1.400000","0.150000","-1.000000","-1.000000","-1.000000","1.000000","0.750000","-1.000000","20.000000","30.000000","1.000000","-1.000000","-1.000000","-1.000000","72.500000","-1.000000","-1.000000","0","1","None","-1","1.000000","-1","-1","-1","-1.000000"
Default.Parry,"-1.000000","-1.000000","-1.000000","0.700000","0.000000","-1.000000","-1.000000","0.000000","0.000000","0.750000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0.850000","-1.000000","-1.000000","0","-1","None","-1","0.000000","-1","-1","-1","-1.000000"
Default.InitiativeAttack,"-1.000000","0.300000","-1.000000","-1.000000","0.150000","-1.000000","-1.000000","-1.000000","-1.000000","0.750000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0","-1","None","-1","0.000000","-1","-1","-1","-1.000000"
Default.LanceCharge,"-1.000000","0.700000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0","-1","None","-1","-1.000000","-1","-1","-1","-1.000000"
Default.HorseSpecial,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0","-1","None","-1","-1.000000","-1","-1","-1","-1.000000"
Default.SprintCharge,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","30.000000","10.000000","-1.000000","-1.000000","-1.000000","-1.000000","70.000000","-1.000000","-1.000000","0","-1","None","-1","0.000000","-1","-1","-1","-1.000000"
Default.Headbutt,"-1.000000","0.300000","-1.000000","0.700000","0.150000","-1.000000","0.250000","0.600000","-1.000000","0.750000","-1.000000","25.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","37.500000","50.000000","-1.000000","0","-1","None","-1","1.200000","-1","-1","-1","-1.000000"
Default.QuickThrow,"-1.000000","0.300000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0.750000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0.000000","-1.000000","-1.000000","0","-1","None","-1","0.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1","-1","None","None","0.000000","-1","-1","-1","0.000000"
Weapon_Greatsword.Slash,"0.350000","0.325000","0.550000","1.100000","0.175000","0.250000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.SlashHeavy,"0.350000","0.575000","0.550000","1.200000","0.175000","0.500000","-1.000000","1.200000","-1.000000","-1.000000","-1.000000","70.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","52.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.Overhead,"0.350000","0.325000","0.525000","1.100000","0.175000","0.250000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","70.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","47.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.OverheadHeavy,"0.350000","0.575000","0.525000","1.200000","0.175000","0.500000","-1.000000","1.200000","-1.000000","-1.000000","-1.000000","90.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.Stab,"0.350000","0.350000","0.425000","1.000000","0.200000","0.250000","-1.000000","1.200000","-1.000000","-1.000000","-1.000000","50.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","52.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.StabHeavy,"0.350000","0.600000","0.400000","1.100000","0.200000","0.500000","-1.000000","1.400000","-1.000000","-1.000000","-1.000000","70.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","55.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.Jab,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.Shove,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.Special,"0.350000","1.000000","0.450000","1.350000","0.200000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","100.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.Throw,"0.800000","0.700000","0.500000","0.550000","0.150000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","60.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.SprintAttack,"-1.000000","-1.000000","0.400000","-1.000000","0.200000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","100.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.SprintShove,"-1.000000","-1.000000","-1.000000","-1.000000","0.200000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.SprintCharge,"-1.000000","-1.000000","-1.000000","-1.000000","0.200000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","60.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_Greatsword.HorseSpecial,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1","-1","None","None","0.000000","-1","-1","-1","0.000000"
Weapon_GreatswordMounted.Slash,"0.350000","0.300000","0.550000","1.100000","0.175000","0.250000","-1.000000","0.800000","-1.000000","-1.000000","-1.000000","50.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.SlashHeavy,"0.350000","0.550000","0.550000","1.200000","0.175000","0.500000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","70.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","52.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.Overhead,"0.350000","0.300000","0.525000","1.100000","0.175000","0.250000","-1.000000","0.800000","-1.000000","-1.000000","-1.000000","70.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","47.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.OverheadHeavy,"0.350000","0.550000","0.525000","1.200000","0.175000","0.500000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","90.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.Stab,"0.350000","0.300000","0.425000","1.000000","0.200000","0.250000","-1.000000","0.800000","-1.000000","-1.000000","-1.000000","50.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","47.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.StabHeavy,"0.350000","0.550000","0.400000","1.100000","0.200000","0.500000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","70.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.Jab,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.Shove,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","10.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.Special,"0.350000","1.000000","0.450000","1.350000","0.200000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","100.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.Throw,"0.800000","0.700000","0.500000","0.550000","0.150000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","60.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.SprintAttack,"-1.000000","-1.000000","0.400000","-1.000000","0.200000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","100.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.SprintShove,"-1.000000","-1.000000","-1.000000","-1.000000","0.200000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.SprintCharge,"-1.000000","-1.000000","-1.000000","-1.000000","0.200000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","60.000000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_GreatswordMounted.HorseSpecial,"-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","50.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","0","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_HighlandSword,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1","-1","None","None","0.000000","-1","-1","-1","0.000000"
Weapon_HighlandSword.Slash,"0.350000","0.425000","0.650000","1.400000","0.250000","0.300000","-1.000000","1.000000","-1.000000","-1.000000","-1.000000","55.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","55.000000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
Weapon_HighlandSword.SlashHeavy,"0.350000","0.625000","0.680000","1.550000","0.250000","0.500000","-1.000000","1.200000","-1.000000","-1.000000","-1.000000","75.000000","0.000000","1.000000","-1.000000","-1.000000","-1.000000","57.500000","-1.000000","-1.000000","-1","-1","-1","-1","-1.000000","-1","-1","-1","-1.000000"
